0: 3723
1019: 3583,643
1020: 1895,3571,3621
1021: 4218,3125,3463
1022: 3132,4549,1684
1023: 3896
1024: 5086,5766,3478
1025: 3947,3940,2047
1026: 3771,785,2110
1027: 5091
1028: 5688,5006,4260,3483,3175
1029: 
1030: 3562,1980,3537,1897
1031: 3622
1032: 3835
1033: 3825
1034: 5101,5269,2165
1035: 5305,4581
1036: 4587,4398,3186
1037: 2394,5795,5942
1038: 3523
1039: 
1040: 4595
1041: 909,3236
1042: 3897
1043: 3205,4508,5115
1044: 1773,5201,3206,1011
1045: 3797
1046: 3210,5122,1783
1047: 3865,2013
1048: 3733,3731,1970
1049: 4619
1050: 3585
1051: 5126,4035,3224
1052: 3939,3948
1053: 2876,5129,3229
1054: 5586,4078
1055: 3734
1056: 2086
1057: 3715,1963
1058: 5803,2981,3261,4123
1059: 5134
1060: 2130,5456,2808
1061: 2148,4648
1062: 3698
1063: 3522
1064: 3788,1989,3782
1065: 4658
1066: 4660
1067: 4006,3997
1068: 
1069: 5145
1070: 3667,3664
1071: 2194,4672
1072: 5390,2197,5236,4493
1073: 3799
1074: 2209,4103,3263,1238,5949
1075: 3281,5402,4558
1076: 2033,3931
1077: 3932
1078: 1255,3322,3502
1079: 4690
1080: 2237,5160,3383
1081: 2242,2124,5161
1082: 1280,5458,2251,2164
1083: 3540,1917,3623,3646,1904
1084: 3706,3705
1085: 2265,1292,4716
1086: 5953,5824
1087: 4726,2286,5498
1088: 5172,2532
1089: 1978,3761
1090: 2040,3933
1091: 3541,3526
1092: 2708,4742
1093: 2759,4931
1094: 2537,1941,2652,3624
1095: 2341,4786,4087,1358
1096: 2344,4791
1097: 3668
1098: 4495,4971,2975,1374,5680
1099: 2356,5190
1100: 4800,1383,2360
1101: 
1102: 2095
1103: 2390,5959,5067,1395,3056
1104: 4808
1105: 5570,4810
1106: 5577,4038
1107: 2506
1108: 3935
1109: 3657
1110: 4824,2463
1111: 5686,2468
1112: 4194,1463,5583
1113: 1927,3566
1114: 5873,5960
1115: 5217,1484
1116: 4231,2177,5251,1490,4809
1117: 3898,3890
1118: 4839,2496
1119: 5961
1120: 3800
1121: 
1122: 4849
1123: 2505,2520,4854
1124: 3724
1125: 2529,2555,5235
1126: 3551,2580,1924,4379
1127: 2559,1548
1128: 5111,5241,2682
1129: 5469
1130: 2574,4919,5962
1131: 2073,4172,4870
1132: 3508
1133: 
1134: 5249,1595
1135: 3509
1136: 5253,1603
1137: 5963
1138: 4884,2633
1139: 4008,2075
1140: 
1141: 4688,3426
1142: 2649,5228,4896,3675
1143: 3736,1976
1144: 3335,2056,4901,3965
1145: 5266
1146: 5761,2657,3467,2587
1147: 1979,3756
1148: 
1149: 4761,5288,2663,4752
1150: 2670,5964,5946
1151: 5278
1152: 1702,2678
1153: 2112
1154: 5289,5282,2322,4380
1155: 3617,1921
1156: 3744,1977
1157: 4923,2696
1158: 188,5287,5304
1159: 2709,4928,1771
1160: 2726,1794,5430
1161: 3699
1162: 2818,5763,2734
1163: 5931,5764
1164: 4973,5476,4378
1165: 
1166: 2753,5297
1167: 2757,1845
1168: 5302
1169: 3989
1170: 4947
1171: 
1172: 5308
1173: 2089
1174: 3769,1986
1175: 3632,1937,3634
1176: 3492,212,3283
1179: 4961
1180: 2802,5198,943
1181: 4964,2808,2130
1182: 2148,5770
1183: 4970,2814
1184: 5318,2455,5472
1185: 3523,5775,357,2831
1186: 2839,4976
1187: 4978,5506
1188: 5325
1189: 4983,2864
1190: 4985
1191: 595,5557
1192: 5149,2884,4993
1193: 5330,5630,2931
1194: 4404,4998
1195: 2892,236,4719,5446
1196: 5333,600
1197: 2896,5334
1198: 5007,2907,5767,121,2953
1199: 3138,4311
1200: 4355,481
1201: 5014,5794
1202: 5017,2949
1203: 5022
1204: 2954,5027,708,4340
1205: 2957,5345
1206: 483,2961,5349
1207: 5230,5666,2964,3153
1208: 4019,2966
1209: 5353,2969,2502
1210: 4022
1211: 2535,4023,2985
1212: 5358,5706,2168
1213: 2552,5791,3001,4531
1214: 3201,5059,5792,831
1215: 5363,3007
1216: 5364,2174
1217: 3016,4040,2558
1218: 3031,4622,3203,5298,5538
1219: 833,3702,2121,295
1220: 363,3033,5369
1221: 4638,7
1222: 4051,3037
1223: 3041,4055
1224: 5379
1225: 4831,5381,2962,3102
1226: 3112,4063
1227: 4067
1228: 4068
1229: 4072
1230: 5390
1231: 5034,485,3187
1232: 4077,3217
1233: 4083
1234: 3228,4088
1235: 3246,5395
1236: 4356,5396,4095
1237: 486,4104
1238: 4103,1074
1239: 4106,368,5392
1240: 4110
1241: 4112
1242: 3273,4114
1243: 369,5802
1244: 242,2303,4167
1245: 3281,5402
1246: 5404
1247: 4127,4463
1248: 4131,3293
1249: 126,5806,5705,5285
1250: 714,3304,4232,5121
1251: 3005,5717,5413,3308
1252: 245,4898,3312,4139
1253: 4144,5457
1254: 4148,5468,4835
1255: 1078,3322,3502,1884
1256: 837,3220,4301
1257: 4155
1258: 4158,5925
1259: 4325,838,4031
1260: 3342,4164
1261: 5425
1262: 3349,4171
1263: 4069,4373,3354,5865
1264: 5522,4178
1265: 3361,4181
1266: 2232,3364
1267: 4410,5435
1268: 4190,3371,15
1269: 4430,5752,4320
1270: 5811,5866
1271: 3380,4198
1272: 4201,4634
1273: 3837,3387,2771,129
1274: 4209,5175
1275: 4212,4840,2597,2123
1276: 4215,2124
1277: 3280,4098,5449,2127
1278: 5452,5197
1279: 3856,5455
1280: 1082,5458
1281: 5463,2030
1282: 377,4506
1283: 5464,5284
1284: 5467,2211,4541
1285: 131,4555,3014
1286: 2224,2538,5469
1287: 2233,4597,5471,719,5411
1288: 5473
1289: 2245,3045
1290: 5867,5817
1291: 3017,4579,4244
1292: 2265,1085,4762
1293: 2542,2280,4263,4802
1294: 4250,2285,5388
1295: 2292,4253
1296: 4866
1297: 2643,4878
1298: 2616,4894,720
1299: 950,4911,5821
1300: 5484,5424
1301: 4265,2336
1302: 5776,4266,621
1303: 4272,951,2362
1304: 5012,5824,3798
1305: 5490
1306: 850,2126,5033
1307: 5826,2377
1308: 5497,2406
1309: 5498
1310: 722,5499
1311: 4296
1312: 4056,380,4680
1313: 4304,2431,622,5026
1314: 5507,254
1315: 20,2439,2272
1316: 2445,4317
1317: 5753,5512
1318: 2458,2281,22
1319: 5513
1320: 4179,5517
1321: 5521,3074,2483
1322: 4241,2562,499,5754
1323: 4252,2301,24
1324: 5667,3053,2517,4300
1325: 4332
1326: 4336,5835
1327: 2144,4417,5562,2551
1328: 2560,4343
1329: 2567,5530,3189
1330: 4363,2573
1331: 5845,4367,258
1332: 5535
1333: 3066,4567
1334: 4588,956
1335: 4377
1336: 4381,5774,2644
1337: 2655,626,3191
1338: 5542
1339: 4792,854,4409
1340: 4394,2681
1341: 261,2693
1342: 3073,5833,385
1343: 2702,5881,4403
1344: 5314,5551
1345: 5555
1346: 5556,5894,2176
1347: 2385,5559
1348: 629,4963,5275,5560
1349: 4423
1350: 2759,4426
1351: 4431,2413
1352: 264,5028
1353: 5036,4769,145
1354: 34,2421,5064
1355: 5566,5080,2198
1356: 265,5453,5568
1357: 961,5841,2835
1358: 5571,4087,1095,2341
1359: 2207,4126,4143
1360: 3555,1373,36,3582
1361: 2430,267,4223
1362: 4458,159
1363: 2344,2902,5576
1364: 148,4466
1365: 5578,963
1366: 2930,389,4744
1367: 38,5582
1368: 2934,5295,634
1369: 5585,2938
1370: 4485
1371: 2752,965,4420
1372: 2968,4491,390
1373: 39,1360,3582
1374: 1098,4495,5680
1375: 3221,2979,635,5592
1376: 5594,2569,2983
1377: 2986,4496,863,2227
1378: 5018,4507
1379: 2999,2356,4510
1380: 3004,4513
1381: 4517
1382: 5600
1383: 4612,1100,2360
1384: 3109,3030,4523
1385: 3032,4527
1386: 5605,726
1387: 4645,638
1388: 3042,5608,5657,1674
